7.4,0.700,0.000,1.90,0.076,11,34,0.9978,3.51,0.56,9.40,5
7.8,0.880,0.000,2.60,0.098,25,67,0.9968,3.2,0.68,9.80,5
7.8,0.760,0.040,2.30,0.092,15,54,0.9970,3.26,0.65,9.80,5
11.2,0.280,0.560,1.90,0.075,17,60,0.9980,3.16,0.58,9.80,6
7.4,0.700,0.000,1.90,0.076,11,34,0.9978,3.51,0.56,9.40,5
7.4,0.660,0.000,1.80,0.075,13,40,0.9978,3.51,0.56,9.40,5
7.9,0.600,0.060,1.60,0.069,15,59,0.9964,3.3,0.46,9.40,5
7.3,0.650,0.000,1.20,0.065,15,21,0.9946,3.39,0.47,10.00,7
7.8,0.580,0.020,2.00,0.073,9,18,0.9968,3.36,0.57,9.50,7
7.5,0.500,0.360,6.10,0.071,17,102,0.9978,3.35,0.8,10.50,5
6.7,0.580,0.080,1.80,0.097,15,65,0.9959,3.28,0.54,9.20,5
7.5,0.500,0.360,6.10,0.071,17,102,0.9978,3.35,0.8,10.50,5
5.6,0.615,0.000,1.60,0.089,16,59,0.9943,3.58,0.52,9.90,5
7.8,0.610,0.290,1.60,0.114,9,29,0.9974,3.26,1.56,9.10,5
8.9,0.620,0.180,3.80,0.176,52,145,0.9986,3.16,0.88,9.20,5
8.9,0.620,0.190,3.90,0.170,51,148,0.9986,3.17,0.93,9.20,5
8.5,0.280,0.560,1.80,0.092,35,103,0.9969,3.3,0.75,10.50,7
8.1,0.560,0.280,1.70,0.368,16,56,0.9968,3.11,1.28,9.30,5
7.4,0.590,0.080,4.40,0.086,6,29,0.9974,3.38,0.5,9.00,4
7.9,0.320,0.510,1.80,0.341,17,56,0.9969,3.04,1.08,9.20,6
8.9,0.220,0.480,1.80,0.077,29,60,0.9968,3.39,0.53,9.40,6
7.6,0.390,0.310,2.30,0.082,23,71,0.9982,3.52,0.65,9.70,5
7.9,0.430,0.210,1.60,0.106,10,37,0.9966,3.17,0.91,9.50,5
8.5,0.490,0.110,2.30,0.084,9,67,0.9968,3.17,0.53,9.40,5
6.9,0.400,0.140,2.40,0.085,21,40,0.9968,3.43,0.63,9.70,6
6.3,0.390,0.160,1.40,0.080,11,23,0.9955,3.34,0.56,9.30,5
7.6,0.410,0.240,1.80,0.080,4,11,0.9962,3.28,0.59,9.50,5
7.9,0.430,0.210,1.60,0.106,10,37,0.9966,3.17,0.91,9.50,5
7.1,0.710,0.000,1.90,0.080,14,35,0.9972,3.47,0.55,9.40,5
7.8,0.645,0.000,2.00,0.082,8,16,0.9964,3.38,0.59,9.80,6
